,,攻击,防御,运气,体能,暴击伤害,骰子上限,格挡,伤害降低,反伤,生命提升,每回回血,生命窃取,击中回血,魔法获取,金币获取,经验提升,击杀经验,骰子下限,负面降低,精英伤害,暂定,暂定,,,
,数值,3,1,1,1,0.4,0.015,0.15,0.02,2,0.1,1,0.2,3,0.2,0.2,0.1,1,0.015,0.02,0.04,-1,-1,,,
,,Affix_Atk,Affix_Def,Affix_Luc,Affix_Vit,Affix_CriDmg,Affix_MaxDice,Affix_BlockValue,Affix_ShortDistanceAtkDecreaseRate,Affix_BrambleDmg,Affix_HpBonusRate,Affix_HpRegen,Affix_HpAbsorb,Affix_HpHit,Affix_MagicFind,Affix_GoldFind,Affix_ExpBonus,Affix_ExpWhenKill,Affix_MinDice,Affix_DebuffRoundMinus,Affix_EliteDamage,Affix_X5,Affix_X6,AffixCanBeUsed,MainType,EquipedPosition
剑,ItemSubType_Sword,○,×,△,△,△,×,×,×,×,×,×,△,△,△,△,×,△,×,×,△,,,10,0,0
拳套,ItemSubType_Fist,○,×,△,△,△,×,×,×,×,×,×,△,△,×,△,△,△,×,×,△,,,10,0,0
斧,ItemSubType_Axe,○,×,△,△,△,×,×,×,×,×,×,△,△,△,×,△,△,×,×,△,,,10,0,0
矛,ItemSubType_Spear,○,×,△,△,△,×,×,×,×,×,×,×,△,△,△,△,△,×,×,△,,,10,0,0
锤,ItemSubType_Hammer,○,×,△,△,△,×,×,×,×,×,×,△,△,△,×,△,△,×,×,△,,,10,0,0
杖,ItemSubType_Wand,○,×,△,△,△,×,×,×,×,×,×,×,△,△,△,△,△,×,×,△,,,10,0,0
弩,ItemSubType_CrossBow,○,×,△,△,△,×,×,×,×,×,×,△,△,×,△,△,△,×,×,△,,,10,0,0
匕首,ItemSubType_Dagger,○,×,△,△,△,×,×,×,×,×,×,△,△,△,×,△,△,×,×,△,,,10,0,0
未定,ItemSubType_X1,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X2,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X3,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X4,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X5,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X6,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X7,,,,,,,,,,,,,,,,,,,,,,,0,0,
巨剑,ItemSubType_Claymore,◎,×,△,△,○,×,×,×,×,×,×,△,△,△,△,△,△,×,×,△,,,11,1,0
铜锤,ItemSubType_LargeHammer,◎,×,△,△,△,×,×,×,×,×,×,△,△,△,△,△,○,×,×,△,,,11,1,0
大斧,ItemSubType_GiantAxe,◎,×,△,△,△,×,×,×,×,×,×,△,△,△,△,○,△,×,×,△,,,11,1,0
弓箭,ItemSubType_Bow,◎,×,△,△,△,×,×,×,×,×,×,△,○,△,△,△,△,×,×,△,,,11,1,0
机弩,ItemSubType_GaintCrossBow,◎,×,△,△,△,×,×,×,×,×,×,○,△,△,△,△,△,×,×,△,,,11,1,0
魔杖,ItemSubType_MagicStaff,◎,×,△,△,△,×,×,×,×,×,×,△,△,○,△,△,△,×,×,△,,,11,1,0
法杖,ItemSubType_MonkStaff,◎,×,○,△,△,×,×,×,×,×,×,△,△,△,△,△,△,×,×,△,,,11,1,0
未定,ItemSubType_X8,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X9,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X10,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X11,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X12,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X13,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X14,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X15,,,,,,,,,,,,,,,,,,,,,,,0,0,
盾牌,ItemSubType_Shield,×,◎,△,△,×,×,○,△,△,△,△,×,×,△,△,△,△,×,△,△,,,14,2,1
行囊,ItemSubType_Bag,×,△,△,△,△,×,×,△,△,△,△,△,△,△,△,△,△,×,×,△,,,15,2,1
法典,ItemSubType_MagicBook,△,△,△,△,△,×,×,×,△,△,△,△,△,△,△,△,△,×,×,△,,,15,2,1
未定,ItemSubType_X16,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X17,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X18,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X19,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X20,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X21,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X22,,,,,,,,,,,,,,,,,,,,,,,0,0,
头盔,ItemSubType_Helmet,×,◎,△,△,×,×,×,×,×,△,△,△,×,△,△,△,×,×,×,△,,,10,3,2
炼气石,ItemSubType_MonkStone,×,○,△,△,×,×,×,△,△,△,△,△,×,△,△,△,×,×,×,×,,,11,3,2
肩甲,ItemSubType_Shoulder,×,○,△,◎,×,×,×,×,×,△,△,×,×,△,△,△,△,×,×,△,,,10,4,3
项链,ItemSubType_Necklace,△,△,△,△,△,△,×,△,△,△,△,△,△,△,△,△,△,△,△,△,,,19,5,4
胸甲,ItemSubType_Armour,×,◎,△,△,×,×,×,△,△,△,△,×,×,△,△,△,△,×,×,×,,,11,6,5
猎人披风,ItemSubType_HunterArmour,×,○,△,△,△,×,×,△,×,△,△,×,×,△,△,△,△,×,×,×,,,11,6,5
护腕,ItemSubType_Cuff,×,○,△,△,△,×,×,×,△,×,×,△,×,△,△,△,△,×,×,△,,,11,7,6
手套,ItemSubType_Glove,×,○,◎,△,△,×,×,×,△,×,×,△,△,△,△,△,△,×,×,×,,,11,8,7
腰带,ItemSubType_Waistband,×,○,△,△,×,×,×,△,×,△,△,×,×,△,△,△,△,×,×,△,,,11,9,8
重型腰带,ItemSubType_HeaveWaistband,×,○,△,△,△,×,×,×,△,×,×,△,×,△,△,△,△,×,×,△,,,11,9,8
腿甲,ItemSubType_Trousers,×,○,△,◎,×,×,×,△,×,△,△,×,×,△,△,△,△,×,×,△,,,11,10,9
靴子,ItemSubType_Shoe,×,○,◎,△,×,×,×,×,△,△,△,×,×,△,△,△,△,×,×,△,,,11,11,10
戒指,ItemSubType_Ring,△,△,△,△,△,△,×,△,△,△,△,△,△,△,△,△,△,△,△,△,,,19,12,11
未定,ItemSubType_X23,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X24,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X25,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X26,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X27,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X28,,,,,,,,,,,,,,,,,,,,,,,0,0,
未定,ItemSubType_X29,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,3000,2600,2800,2800,560,3,30,24,3200,220,2200,320,3000,560,560,320,2800,3,4,80,-2000,-2000,,,
